gene_id	Heart_P3_1	Heart_P3_2	Heart_P3_3	Heart_P3_4	Heart_P63_1	Heart_P63_2	Heart_P63_3	Heart_P63_4
ENSMUSG00000028854	1101	1228	1004	1548	1334	678	855	1119
ENSMUSG00000028857	580	548	460	676	693	314	525	708
ENSMUSG00000028859	71	59	37	71	60	55	49	104
ENSMUSG00000028860	27	9	9	26	11	8	8	14
ENSMUSG00000028861	792	980	806	924	1107	665	1048	1439
ENSMUSG00000028862	101	143	71	157	282	107	406	239
ENSMUSG00000028863	879	1036	885	1141	669	382	472	597
ENSMUSG00000028864	26	29	22	37	36	28	14	22
ENSMUSG00000028865	5	3	3	5	0	0	1	0
ENSMUSG00000028868	3744	4544	3434	5257	3332	1768	2083	2512
ENSMUSG00000028869	1403	1721	1278	1752	1421	757	973	1289
ENSMUSG00000028871	231	102	96	266	70	60	85	164
ENSMUSG00000028873	1002	848	941	991	27	20	9	19
ENSMUSG00000028874	23	15	12	23	10	15	9	17
ENSMUSG00000028876	0	1	0	0	1	0	0	0
ENSMUSG00000028878	1025	1300	1018	1210	1677	905	1042	1300
ENSMUSG00000028879	2235	2651	2472	2651	2388	1426	1563	2081
ENSMUSG00000028882	833	892	781	958	686	351	454	617
ENSMUSG00000028883	507	354	320	565	128	79	116	218
ENSMUSG00000028884	702	803	708	742	436	257	337	441
ENSMUSG00000028885	64	51	56	71	52	21	35	52
ENSMUSG00000028886	1916	2112	1859	2395	1849	867	1122	1776
ENSMUSG00000028889	303	428	333	316	363	234	239	380
ENSMUSG00000028890	570	642	543	662	848	472	531	712
ENSMUSG00000028893	187	191	152	220	148	82	84	136
ENSMUSG00000028894	627	759	599	784	591	375	390	580
ENSMUSG00000028896	588	603	549	720	354	164	180	250
ENSMUSG00000028898	584	641	512	658	565	289	412	528
ENSMUSG00000028899	452	507	429	511	675	371	482	685
ENSMUSG00000028901	881	1037	844	1178	497	260	316	440
ENSMUSG00000028902	1075	1210	1121	1173	660	440	426	658
ENSMUSG00000028906	2746	3143	2638	3929	5368	3001	4378	7972
ENSMUSG00000028907	723	900	774	757	684	423	452	731
ENSMUSG00000028909	79	74	48	95	139	41	129	132
ENSMUSG00000028910	486	628	522	546	621	368	564	566
ENSMUSG00000028911	1649	1959	1539	2132	1200	726	819	1082
ENSMUSG00000028914	832	889	730	1147	700	380	471	624
ENSMUSG00000028917	1695	2319	1757	2622	5525	2459	4495	4317
ENSMUSG00000028919	77	86	50	63	414	204	287	889
ENSMUSG00000028920	865	1017	821	1030	888	454	514	715
ENSMUSG00000028923	627	684	520	754	559	304	355	495
ENSMUSG00000028926	964	1047	909	1219	491	303	176	269
ENSMUSG00000028927	16	13	9	12	58	44	52	28
ENSMUSG00000028931	52	39	33	63	69	44	56	70
ENSMUSG00000028932	2382	2929	2515	2981	3527	1862	2180	2817
ENSMUSG00000028933	262	247	264	227	336	181	299	225
ENSMUSG00000028936	3757	3970	3551	4890	3913	2262	3022	3658
ENSMUSG00000028937	1162	1304	1017	1739	2233	1049	1656	2146
ENSMUSG00000028938	0	0	0	0	0	0	0	0
ENSMUSG00000028940	2	1	0	0	0	1	0	0
ENSMUSG00000028943	37	34	26	37	74	52	77	123
ENSMUSG00000028944	3949	4235	4106	5568	1175	806	767	915
ENSMUSG00000028945	2554	3241	2846	2588	2742	1807	1871	2709
ENSMUSG00000028946	1	0	0	0	0	0	0	0
ENSMUSG00000028948	681	751	547	683	564	360	345	557
ENSMUSG00000028949	1850	1926	1719	1999	1685	890	1114	1499
ENSMUSG00000028950	2	2	2	5	1	1	1	3
ENSMUSG00000028952	220	224	192	255	206	111	122	181
ENSMUSG00000028953	1372	1597	1359	1734	2142	1176	1594	2025
ENSMUSG00000028954	1161	1286	1064	1611	1984	1071	1469	1784
ENSMUSG00000028955	2272	2735	2387	2495	3145	1858	2059	2647
ENSMUSG00000028957	1008	1332	1309	1472	4052	1993	2235	2678
ENSMUSG00000028958	133	154	141	172	259	140	167	208
ENSMUSG00000028959	3316	3885	3300	4317	7280	3409	5467	7548
ENSMUSG00000028960	2586	3055	2614	3570	2410	1398	1526	2126
ENSMUSG00000028961	1444	1611	1462	1866	1263	624	858	1282
ENSMUSG00000028962	1528	1669	1323	1986	1469	646	925	1179
ENSMUSG00000028963	1	0	0	0	0	0	0	0
ENSMUSG00000028964	1911	2145	1845	2402	3097	1801	2780	3501
ENSMUSG00000028965	2	2	1	2	1	1	0	2
ENSMUSG00000028967	555	742	502	501	1889	604	1173	1825
ENSMUSG00000028969	562	672	463	734	675	292	532	542
ENSMUSG00000028970	57	43	48	48	327	138	294	268
ENSMUSG00000028971	16	23	10	7	0	1	2	2
ENSMUSG00000028972	0	1	0	1	0	0	0	0
ENSMUSG00000028973	1795	2174	2125	2525	2991	1636	2644	4216
ENSMUSG00000028974	728	829	671	901	1385	673	762	1214
ENSMUSG00000028975	551	612	457	820	575	323	460	660
ENSMUSG00000028976	21	29	25	23	19	6	15	31
ENSMUSG00000028977	2943	3759	2949	3737	2269	1326	1430	2061
ENSMUSG00000028978	1640	1748	1479	2283	1450	680	816	910
ENSMUSG00000028979	29	82	25	40	49	28	33	2
ENSMUSG00000028980	1177	1166	1107	1674	1713	795	1183	1413
ENSMUSG00000028982	117	142	167	119	994	398	774	627
ENSMUSG00000028986	1623	2170	1875	1936	2803	1592	1877	3131
ENSMUSG00000028988	1109	1424	997	1542	1390	809	866	740
ENSMUSG00000028989	118	141	95	150	376	191	132	199
ENSMUSG00000028990	707	868	703	801	1244	656	698	1307
ENSMUSG00000028991	2708	3243	2731	4028	3129	1561	2068	2700
ENSMUSG00000028992	386	448	366	534	916	330	584	951
ENSMUSG00000028995	3067	3976	3267	3759	3209	1687	2119	3583
ENSMUSG00000028996	766	673	800	988	777	271	569	694
ENSMUSG00000028998	1012	1141	1091	1233	1451	931	1305	1634
ENSMUSG00000028999	737	774	700	858	810	495	546	985
ENSMUSG00000029001	174	501	317	216	127	164	342	70
ENSMUSG00000029003	273	305	249	363	286	122	173	283
ENSMUSG00000029004	3312	3928	3160	4335	4155	2101	2100	2877
ENSMUSG00000029005	6	0	2	11	11	8	24	13
ENSMUSG00000029007	815	1387	998	1103	1899	1025	1406	1968
ENSMUSG00000029009	1089	1111	962	1631	1284	697	506	795
ENSMUSG00000029012	544	577	543	634	593	310	349	460
ENSMUSG00000029014	796	991	770	874	794	563	534	677
ENSMUSG00000029015	0	0	1	0	1	0	0	1
ENSMUSG00000029016	974	937	853	1469	936	468	425	685
ENSMUSG00000029017	3915	5057	4556	5077	6751	3520	4463	5993
ENSMUSG00000029019	1168	1443	1574	1042	1332	1581	1063	756
ENSMUSG00000029020	13379	17765	15161	19382	29990	16294	26403	34750
ENSMUSG00000029022	437	448	464	606	257	102	219	213
ENSMUSG00000029026	6	1	0	0	0	0	0	1
ENSMUSG00000029027	251	300	245	352	222	141	191	256
ENSMUSG00000029028	1451	1488	1270	1705	1261	793	897	1288
ENSMUSG00000029029	260	255	184	310	232	122	173	242
ENSMUSG00000029030	2019	2318	1853	2779	3565	1905	2761	3357
ENSMUSG00000029032	32	31	19	37	37	16	14	26
ENSMUSG00000029033	724	759	545	1008	861	428	425	627
ENSMUSG00000029034	464	517	430	694	670	322	373	503
ENSMUSG00000029036	1975	2449	2046	2552	1557	925	1135	2059
ENSMUSG00000029038	990	1179	1007	1185	932	577	735	1069
ENSMUSG00000029044	0	0	0	0	0	0	0	0
ENSMUSG00000029047	303	324	268	347	593	276	407	612
ENSMUSG00000029048	1686	1876	1692	1926	1944	1140	1459	2022
ENSMUSG00000029049	66	60	50	88	31	19	18	26
ENSMUSG00000029050	4116	4807	3507	4983	3988	2138	2253	3060
ENSMUSG00000029053	93	66	47	83	143	65	67	82
ENSMUSG00000029054	0	2	0	1	0	0	1	0
ENSMUSG00000029055	17	5	3	2	3	4	4	4
ENSMUSG00000029056	1170	1338	1137	1473	2155	1067	1650	1966
ENSMUSG00000029059	292	325	295	314	1427	808	1101	1073
ENSMUSG00000029060	603	672	541	710	883	539	704	820
ENSMUSG00000029061	523	531	445	667	254	192	177	250
ENSMUSG00000029062	1908	2111	1798	2350	1912	1196	1549	1970
ENSMUSG00000029063	1385	1526	1151	1587	1479	791	910	1425
ENSMUSG00000029064	8718	9588	8528	10802	5106	3102	3115	4407
ENSMUSG00000029066	810	905	732	831	1095	601	838	1020
ENSMUSG00000029068	5838	8096	5696	7304	5846	3341	3632	4756
ENSMUSG00000029070	1582	1565	1213	1933	1646	940	839	1050
ENSMUSG00000029071	1193	1329	982	1550	2275	1087	1209	1823
ENSMUSG00000029072	7	5	8	10	13	9	9	7
ENSMUSG00000029073	225	255	184	320	241	179	136	237
ENSMUSG00000029074	5	0	2	7	1	1	0	2
ENSMUSG00000029075	24	18	18	23	11	7	14	17
ENSMUSG00000029076	2702	2898	2566	3308	3177	1719	2199	2877
ENSMUSG00000029082	79	58	58	143	162	109	243	252
ENSMUSG00000029084	734	838	626	783	857	520	407	664
ENSMUSG00000029086	163	130	99	133	118	66	68	54
ENSMUSG00000029088	9	12	5	9	1	1	2	2
ENSMUSG00000029089	146	169	136	201	97	68	53	69
ENSMUSG00000029090	1684	1949	1322	2095	1081	595	786	578
ENSMUSG00000029092	3	5	7	9	2	2	1	2
ENSMUSG00000029093	531	577	495	665	202	107	93	261
ENSMUSG00000029094	2074	2287	2055	2654	1443	757	825	1133
ENSMUSG00000029095	520	578	444	680	1010	433	774	1051
ENSMUSG00000029096	782	933	583	1056	4637	1920	2961	3634
ENSMUSG00000029097	122	129	84	138	103	46	69	59
ENSMUSG00000029098	952	1142	924	1388	1398	654	1063	1450
ENSMUSG00000029101	2245	2227	1956	3283	1224	742	738	1069
ENSMUSG00000029102	21	16	13	16	11	3	3	7
ENSMUSG00000029103	1740	1786	1525	2355	2356	1250	1734	2200
ENSMUSG00000029104	1839	1657	1621	2431	1687	853	997	1241
ENSMUSG00000029106	6857	7584	6379	9297	6275	3377	4454	5782
ENSMUSG00000029108	2955	3361	2964	5112	4132	2007	1781	3132
ENSMUSG00000029110	2345	2612	2195	3018	1606	838	907	1229
ENSMUSG00000029111	575	611	512	740	491	258	303	430
ENSMUSG00000029112	0	0	0	0	0	0	0	0
ENSMUSG00000029119	498	606	432	867	829	383	523	669
ENSMUSG00000029120	2	4	1	1	4	3	3	5
ENSMUSG00000029121	206	294	221	286	18	13	11	10
ENSMUSG00000029122	396	419	332	496	375	244	211	272
ENSMUSG00000029123	58	39	37	97	51	23	6	17
ENSMUSG00000029125	458	507	391	532	498	281	332	429
ENSMUSG00000029126	365	346	352	381	212	117	157	180
ENSMUSG00000029127	160	163	111	199	153	66	68	112
ENSMUSG00000029128	1086	1222	994	1188	3186	1726	2606	3391
ENSMUSG00000029130	12	11	14	17	9	4	0	1
ENSMUSG00000029131	429	507	320	466	579	336	408	485
ENSMUSG00000029134	83	75	89	110	36	31	31	59
ENSMUSG00000029135	885	1204	674	717	2158	1233	1075	2578
ENSMUSG00000029136	51	69	37	65	77	22	33	70
ENSMUSG00000029138	1	3	0	1	0	0	3	1
ENSMUSG00000029141	513	669	518	569	583	367	441	604
ENSMUSG00000029142	1361	1635	1460	1540	1815	1161	1325	1703
ENSMUSG00000029144	1095	1296	1015	1237	897	572	677	932
ENSMUSG00000029145	751	836	674	946	1308	670	959	1364
ENSMUSG00000029146	1754	1928	1763	2311	1863	959	1276	1941
ENSMUSG00000029147	2095	2381	2055	2465	1689	942	1197	1801
ENSMUSG00000029148	2444	2738	2304	3172	3728	1926	2303	3318
ENSMUSG00000029149	40	35	26	46	36	15	31	37
ENSMUSG00000029151	4	3	1	6	2	4	1	5
ENSMUSG00000029152	4623	5640	4819	5632	6229	3343	3935	6086
ENSMUSG00000029153	295	291	269	390	190	44	207	355
ENSMUSG00000029154	0	7	3	3	0	0	0	1
ENSMUSG00000029155	83	48	60	30	15	7	12	8
ENSMUSG00000029156	2674	3563	2757	3268	5615	3035	4776	6824
ENSMUSG00000029158	979	1429	1201	1139	3908	2251	3206	4387
ENSMUSG00000029161	37	28	29	24	45	27	17	50
ENSMUSG00000029162	119	80	71	117	364	159	274	316
ENSMUSG00000029163	2762	3085	2343	3881	1332	905	607	698
ENSMUSG00000029165	572	654	524	683	289	175	189	290
ENSMUSG00000029166	543	566	445	677	1153	653	972	1469
ENSMUSG00000029167	3587	6220	4783	5759	5551	3417	4482	5756
ENSMUSG00000029168	99	41	46	145	40	19	39	32
ENSMUSG00000029169	3530	4152	3479	4124	3216	1825	1832	2992
ENSMUSG00000029171	537	668	453	644	332	192	145	228
ENSMUSG00000029173	675	851	620	814	579	344	349	626
ENSMUSG00000029174	2184	1794	2237	2882	1162	829	433	466
ENSMUSG00000029175	778	868	637	951	2002	1071	1523	2355
ENSMUSG00000029176	1875	2129	2007	2228	1638	1082	1184	1681
ENSMUSG00000029177	1732	1537	1687	1731	966	601	1119	1784
ENSMUSG00000029178	1021	1184	917	1353	1167	579	494	638
ENSMUSG00000029179	467	497	419	568	389	232	240	423
ENSMUSG00000029182	6	0	0	0	1	0	1	0
ENSMUSG00000029184	0	0	0	0	0	0	0	0
ENSMUSG00000029185	1346	1281	1197	1571	984	704	435	580
ENSMUSG00000029186	417	404	291	406	160	100	90	123
ENSMUSG00000029188	697	1	0	2	0	3	0	0
ENSMUSG00000029189	39	40	31	23	92	58	54	93
ENSMUSG00000029190	4331	5328	4670	5589	7476	3809	4194	6420
ENSMUSG00000029191	1843	1995	1880	2290	1760	950	1185	1757
ENSMUSG00000029192	799	932	734	991	883	557	483	683
ENSMUSG00000029193	31	4	1	4	16	1	0	32
ENSMUSG00000029195	0	2	2	0	2	1	1	1
ENSMUSG00000029196	633	772	602	743	729	423	488	788
ENSMUSG00000029198	1959	2347	2272	2483	3268	1652	2602	3321
ENSMUSG00000029199	1024	1385	1228	1412	1686	966	1317	1861
ENSMUSG00000029201	1129	1353	1052	1361	770	549	387	583
ENSMUSG00000029202	2050	2200	1885	2394	2158	1197	858	1396
ENSMUSG00000029203	1898	2226	1895	2178	1851	1095	1339	1878
ENSMUSG00000029204	12	6	10	18	14	24	18	21
ENSMUSG00000029205	2	0	1	0	0	0	0	0
ENSMUSG00000029206	9	2	2	3	0	2	0	1
ENSMUSG00000029207	1760	2282	1758	2226	2773	1705	1937	3009
ENSMUSG00000029208	1691	2161	1973	2040	1394	836	1059	1346
ENSMUSG00000029209	582	706	587	700	578	340	376	599
ENSMUSG00000029211	37	18	16	47	4	5	1	2
ENSMUSG00000029212	1	0	0	5	0	0	0	2
ENSMUSG00000029213	867	1043	945	1024	1039	711	794	1025
ENSMUSG00000029217	524	546	543	591	704	421	501	642
ENSMUSG00000029219	11	5	11	7	7	4	1	1
ENSMUSG00000029221	3827	4564	4240	4196	7207	4177	4975	7093
ENSMUSG00000029223	352	352	287	389	87	50	27	128
ENSMUSG00000029227	1729	2006	1692	2037	1581	885	940	1359
ENSMUSG00000029228	54	89	63	91	925	497	369	440
ENSMUSG00000029229	649	750	609	730	540	356	333	503
ENSMUSG00000029231	2156	2530	1823	2880	2903	1718	1406	1907
ENSMUSG00000029233	549	581	516	669	363	220	219	297
ENSMUSG00000029234	1713	1912	1583	1858	934	577	544	756
ENSMUSG00000029235	0	0	0	0	0	0	4	0
ENSMUSG00000029236	1	0	0	0	0	0	0	0
ENSMUSG00000029238	2198	2720	2155	2765	2222	1387	956	1588
ENSMUSG00000029245	7	7	7	9	2	1	1	3
ENSMUSG00000029246	1071	1259	1171	1253	1671	933	902	1379
ENSMUSG00000029247	5235	6458	5545	6293	6794	3634	4545	6522
ENSMUSG00000029248	1	0	0	1	0	0	0	0
ENSMUSG00000029249	2067	2775	2049	2614	1546	794	614	978
ENSMUSG00000029250	1966	2198	2144	2271	2597	1351	1583	2334
ENSMUSG00000029253	875	945	964	941	346	282	194	367
ENSMUSG00000029254	6	5	5	4	17	14	2	18
ENSMUSG00000029255	0	0	0	0	0	0	0	0
ENSMUSG00000029260	2	1	1	0	2	4	0	2
ENSMUSG00000029263	404	490	424	498	870	525	503	825
ENSMUSG00000029265	1173	1446	1301	1260	1231	885	766	1321
ENSMUSG00000029267	1312	1590	1386	1446	773	514	410	678
ENSMUSG00000029268	0	0	0	0	1	0	1	0
ENSMUSG00000029269	1	0	0	1	0	0	0	0
ENSMUSG00000029270	328	349	320	328	200	135	140	221
ENSMUSG00000029272	0	0	0	1	0	1	15	43
ENSMUSG00000029273	17	18	5	8	55	16	0	86
ENSMUSG00000029275	2	4	2	4	0	1	2	3
ENSMUSG00000029276	322	357	357	399	179	115	85	196
ENSMUSG00000029279	63	67	60	97	57	31	26	38
ENSMUSG00000029280	0	0	0	0	0	0	0	0
ENSMUSG00000029281	0	0	0	0	0	0	0	0
ENSMUSG00000029282	0	0	0	0	2	0	0	2
ENSMUSG00000029283	674	632	695	630	111	79	61	89
ENSMUSG00000029286	0	0	0	0	0	0	0	0
ENSMUSG00000029287	1536	2191	1655	2389	3019	1598	2619	2794
ENSMUSG00000029288	0	0	0	0	0	0	0	0
ENSMUSG00000029290	1555	1788	1518	1900	838	542	506	763
ENSMUSG00000029291	409	450	368	466	501	324	353	388
ENSMUSG00000029298	568	855	527	771	1295	827	567	704
ENSMUSG00000029299	41	36	24	29	16	17	15	12
ENSMUSG00000029304	54	60	31	51	27	45	7	21
ENSMUSG00000029306	4	0	1	0	1	1	0	0
ENSMUSG00000029307	3	7	0	3	4	2	1	2
ENSMUSG00000029309	8873	13129	8941	12567	20002	10019	12282	14875
ENSMUSG00000029310	794	980	795	1074	1201	735	1022	1342
ENSMUSG00000029311	746	919	622	921	1010	456	553	1206
ENSMUSG00000029312	403	475	377	470	584	303	323	523
ENSMUSG00000029313	2177	2267	2052	2915	3363	1837	2382	3252
ENSMUSG00000029314	845	1160	983	865	847	501	452	826
ENSMUSG00000029319	1116	1423	1081	1442	1841	1249	2066	1999
ENSMUSG00000029320	0	6	3	6	1	1	1	0
ENSMUSG00000029321	38	34	24	59	142	27	260	167
ENSMUSG00000029322	28	18	12	28	10	17	5	14
ENSMUSG00000029326	290	306	295	344	245	178	166	279
ENSMUSG00000029328	5114	6187	5318	5674	4002	2878	2975	4503
ENSMUSG00000029330	70	38	33	46	124	80	200	415
ENSMUSG00000029331	0	0	0	0	0	0	0	0
ENSMUSG00000029333	646	704	607	878	655	191	486	295
ENSMUSG00000029334	26	6	6	16	22	14	16	18
ENSMUSG00000029335	30	24	15	19	12	8	6	4
ENSMUSG00000029337	2	4	2	1	1	0	7	0
ENSMUSG00000029338	3660	4308	4756	4364	3393	1882	2362	4101
ENSMUSG00000029343	5	5	3	5	33	20	37	60
ENSMUSG00000029344	625	774	641	756	1033	479	692	917
ENSMUSG00000029345	779	859	687	1044	804	471	624	824
ENSMUSG00000029346	178	192	137	174	185	96	135	191
ENSMUSG00000029348	23	20	13	17	16	9	14	21
ENSMUSG00000029352	35	31	19	38	41	25	26	37
ENSMUSG00000029359	308	474	176	581	2778	1856	3243	4796
ENSMUSG00000029360	10	23	2	15	52	39	39	117
ENSMUSG00000029361	17	14	10	26	21	19	16	16
ENSMUSG00000029363	560	550	580	618	97	53	62	114
ENSMUSG00000029364	2203	2415	2074	2930	2835	1546	2118	2941
ENSMUSG00000029366	783	870	860	719	233	175	113	194
ENSMUSG00000029368	0	15	2	6	2	1	12	2
ENSMUSG00000029369	8	12	7	4	6	7	0	12
ENSMUSG00000029370	15	3	4	8	3	5	0	4
ENSMUSG00000029371	2	2	0	2	9	12	4	6
ENSMUSG00000029372	5	8	12	14	131	170	298	59
ENSMUSG00000029373	131	105	88	142	289	198	227	296
ENSMUSG00000029375	402	2	3	4	0	0	0	0
ENSMUSG00000029376	289	318	295	311	185	106	129	150
ENSMUSG00000029377	9	8	10	12	12	5	3	2
ENSMUSG00000029378	1	6	2	1	1	2	0	0
ENSMUSG00000029379	0	0	0	0	1	0	0	0
ENSMUSG00000029380	8	14	10	12	20	26	10	29
ENSMUSG00000029381	1923	2403	1694	2675	1534	832	560	1162
ENSMUSG00000029384	2	3	2	4	4	1	2	2
ENSMUSG00000029385	1094	1354	1216	1543	1011	490	606	687
ENSMUSG00000029387	453	507	466	546	527	308	381	523
ENSMUSG00000029388	790	941	828	1010	972	542	625	914
ENSMUSG00000029389	345	375	347	384	337	204	231	310
ENSMUSG00000029390	819	843	757	736	1147	739	842	1222
ENSMUSG00000029392	1266	1523	1273	1572	5960	3320	5157	5488
ENSMUSG00000029394	511	536	486	621	537	321	365	505
ENSMUSG00000029397	965	1234	1051	1247	1146	689	804	1224
ENSMUSG00000029401	161	148	147	230	166	88	117	172
ENSMUSG00000029402	206	187	191	260	189	102	117	183
ENSMUSG00000029403	112	92	91	67	363	239	260	284
ENSMUSG00000029404	656	752	635	795	588	352	532	620
ENSMUSG00000029405	3965	4647	4361	4778	3950	2445	2357	3536
ENSMUSG00000029406	2230	2574	2107	2811	3446	1772	2290	3059
ENSMUSG00000029407	2244	2650	2112	2758	2384	1581	1684	2387
ENSMUSG00000029408	104	105	110	160	595	320	395	600
ENSMUSG00000029409	0	0	0	0	0	0	0	0
ENSMUSG00000029410	1	4	3	8	8	1	1	7
ENSMUSG00000029413	266	262	240	339	526	270	342	509
ENSMUSG00000029414	906	928	1004	1015	25	55	8	20
ENSMUSG00000029415	817	924	797	1057	793	417	468	690
ENSMUSG00000029416	327	361	293	407	530	251	335	419
ENSMUSG00000029417	0	8	9	5	79	63	71	154
ENSMUSG00000029419	9	9	9	13	11	16	10	4
ENSMUSG00000029420	10	6	5	8	4	1	3	1
ENSMUSG00000029422	2686	3144	2891	2964	2910	1841	1749	2537
ENSMUSG00000029423	1	0	0	0	0	0	4	0
ENSMUSG00000029426	2199	2390	1742	3592	3697	1972	2212	3544
ENSMUSG00000029427	1302	1418	1266	1536	788	459	510	683
ENSMUSG00000029428	769	744	604	1070	734	442	475	465
ENSMUSG00000029430	2465	2691	2588	2530	2001	1223	1516	2180
ENSMUSG00000029431	4	6	2	2	1	3	0	0
ENSMUSG00000029432	10805	14680	12380	13338	26742	14184	25135	30164
ENSMUSG00000029433	1329	1699	1414	1719	2359	1151	1870	2401
ENSMUSG00000029434	1224	1351	1183	1746	1577	808	1043	1441
ENSMUSG00000029436	67	48	50	73	91	55	68	58
ENSMUSG00000029437	1	0	0	0	0	0	0	0
ENSMUSG00000029438	1122	1184	1080	1314	862	494	494	782
ENSMUSG00000029439	1460	1728	1392	1965	1035	565	729	863
ENSMUSG00000029440	529	568	483	661	416	236	337	477
ENSMUSG00000029442	98	74	101	73	172	74	73	59
ENSMUSG00000029445	6	7	6	0	1	3	10	6
ENSMUSG00000029446	300	376	305	417	313	166	200	291
ENSMUSG00000029447	2703	3196	2874	3127	2808	1569	1668	2458
ENSMUSG00000029449	27	28	37	35	44	28	32	55
ENSMUSG00000029451	0	0	0	0	0	0	0	0
ENSMUSG00000029452	57	68	58	74	107	64	79	100
ENSMUSG00000029454	929	992	830	1014	1585	907	1421	1662
ENSMUSG00000029455	1902	2442	2029	2245	9296	3633	8069	8464
ENSMUSG00000029456	127	193	137	178	296	130	267	275
ENSMUSG00000029458	934	1095	888	1184	1176	661	874	1203
ENSMUSG00000029461	2868	3434	2769	3970	2791	1646	1721	2283
ENSMUSG00000029462	1302	1421	1348	1522	1337	800	889	1170
ENSMUSG00000029463	382	424	355	423	192	111	120	191
ENSMUSG00000029464	422	502	441	506	593	338	407	536
ENSMUSG00000029465	1938	2356	1880	2507	1745	947	1490	1733
ENSMUSG00000029466	1424	1731	1373	1955	1580	768	912	1368
ENSMUSG00000029467	148354	195292	162119	203509	551034	280204	400626	552864
ENSMUSG00000029468	151	167	106	178	315	157	224	228
ENSMUSG00000029469	1264	1728	1527	1485	4524	2549	1569	4735
ENSMUSG00000029470	414	553	394	606	589	276	457	554
ENSMUSG00000029471	695	744	557	810	679	359	363	462
ENSMUSG00000029472	7715	8842	7209	9640	6679	3784	5036	6966
ENSMUSG00000029474	836	1024	851	990	1319	745	917	1223
ENSMUSG00000029475	548	646	555	708	420	231	258	348
ENSMUSG00000029477	2	0	0	2	0	1	1	0
ENSMUSG00000029478	3374	3795	2980	4858	4149	1911	2487	3139
ENSMUSG00000029480	622	840	593	805	663	345	506	647
ENSMUSG00000029482	241	246	227	292	256	163	144	185
ENSMUSG00000029484	900	1012	841	1048	804	523	517	607
ENSMUSG00000029486	818	1056	1001	900	1422	877	1054	1396
ENSMUSG00000029490	31	47	50	50	125	70	89	127
ENSMUSG00000029491	0	0	0	0	0	0	0	0
ENSMUSG00000029499	291	348	299	322	1966	836	1581	2142
ENSMUSG00000029500	975	1146	1064	1169	1192	692	798	1169
ENSMUSG00000029501	1184	1425	1170	1454	1458	793	860	1245
ENSMUSG00000029502	1944	2319	1877	2462	3510	2043	2223	3133
ENSMUSG00000029503	2	0	1	1	0	0	1	0
ENSMUSG00000029504	431	489	428	545	430	271	319	458
ENSMUSG00000029505	2602	2805	2283	3711	2217	1262	1334	1577
ENSMUSG00000029507	369	407	348	439	417	240	324	385
ENSMUSG00000029510	447	455	384	488	69	26	18	20
ENSMUSG00000029512	2080	2256	1831	3051	4390	2126	2634	3457
ENSMUSG00000029513	923	1156	865	1188	1219	607	1203	1622
ENSMUSG00000029516	665	608	690	762	142	101	165	127
ENSMUSG00000029517	2	1	2	2	0	0	0	1
ENSMUSG00000029518	1383	1526	1319	1749	1673	853	1091	1482
ENSMUSG00000029521	245	276	259	273	428	236	259	241
ENSMUSG00000029522	6	0	0	1	0	0	0	0
ENSMUSG00000029524	326	416	361	419	374	242	321	386
ENSMUSG00000029526	1	4	2	2	1	0	0	4
ENSMUSG00000029528	2986	3663	2677	4063	2276	1176	1629	1735
ENSMUSG00000029530	2	1	2	3	1	6	3	2
ENSMUSG00000029534	598	789	576	760	495	267	324	379
ENSMUSG00000029535	348	373	372	401	622	328	419	570
ENSMUSG00000029536	655	765	560	709	804	369	495	923
ENSMUSG00000029538	631	718	536	676	457	325	369	453
ENSMUSG00000029541	0	0	0	0	0	0	0	0
ENSMUSG00000029544	81	115	78	107	114	70	65	81
ENSMUSG00000029545	3068	3943	3404	4250	6899	3481	6367	7657
ENSMUSG00000029546	3	2	0	0	0	2	0	0
ENSMUSG00000029547	1561	1537	1529	1903	1534	807	1231	1668
ENSMUSG00000029550	1483	1733	1381	2073	1343	748	803	1041
ENSMUSG00000029551	106	104	103	110	102	42	55	80
ENSMUSG00000029552	212	242	171	239	144	78	92	100
ENSMUSG00000029553	13	17	2	20	15	8	6	4
ENSMUSG00000029554	448	436	372	619	271	130	191	228
ENSMUSG00000029556	0	2	2	1	2	1	0	3
ENSMUSG00000029557	166	153	143	193	269	157	231	270
ENSMUSG00000029559	437	489	412	562	498	279	393	451
ENSMUSG00000029560	430	481	388	575	553	264	353	401
ENSMUSG00000029561	128	56	59	118	358	204	226	302
ENSMUSG00000029563	279	283	246	313	242	151	95	124
ENSMUSG00000029564	0	0	0	0	0	0	0	0
ENSMUSG00000029569	1345	1614	1423	1441	1247	799	727	1207
ENSMUSG00000029570	192	161	141	259	240	125	282	210
ENSMUSG00000029571	2653	3525	3006	3497	8744	4772	5372	6846
ENSMUSG00000029575	708	827	753	907	1402	722	1108	1276
ENSMUSG00000029576	250	206	163	324	109	54	47	68
ENSMUSG00000029577	3137	3523	3100	4287	5838	2862	4428	5784
ENSMUSG00000029578	1604	1741	1491	2177	1913	969	1339	1730
ENSMUSG00000029580	24515	25538	22243	28277	14235	9588	8240	13993
ENSMUSG00000029581	2929	3325	2569	3542	877	707	495	842
ENSMUSG00000029586	0	0	0	0	0	0	0	0
ENSMUSG00000029587	447	521	397	493	688	322	346	427
ENSMUSG00000029591	730	651	649	560	851	444	818	743
ENSMUSG00000029592	516	554	432	690	451	248	353	398
